Tweets,category,misogyny,target,HS
@AhmadMoussaly @DimaSadek اي نحن ما منقبلها صرماية بإجرنا ...مبروك.ع راسكم,discredit,misogyny,active,1
@berrynawal نوال شو قصتك كل يوم بتاكلي قتله شو صاير معك شي اليوم طمنينا عنك .,none,none,none,0
@DimaSadek انشالله بيقبر قلبك عن قريب ...يافهيمة عصرك,damning,misogyny,active,1
@DimaSadek @LBCI_NEWS @JeanFeghali يسلم لسانك من مصر يا ديما نحن معك,none,none,none,0
"@RammalNaima @DimaSadek من بجيب الحشيش عبيروت ؟ 
بعلبك يعني انتو",none,none,none,0
@DimaSadek فعلاً الثورة أنثى، برافو ديما,none,none,none,0
@berrynawal يخرب بيتك حبيتك,none,none,none,0
@DimaSadek انك بكل تواضع سفيهة منحطة عديمة المبدأ، ويجوز فيك القول بل يجب انك وضيعة، لست إلا مأمورة غبية تحتاجين ال… https://t.co/B68FXaFNex,discredit,misogyny,active,1
@DimaSadek ضبي لسانك احسنلك ��,discredit,misogyny,active,1
@DimaSadek يا حمارة يا صهيونية يا عاهرة هؤلاء بفضلهم انت لست في خضن تكفيري الا اذا كنت تحبين النغير,discredit,misogyny,active,1
@DimaSadek كلنا #ديما_صادق ، #لبنان_ينتفص #انتو_احلى_عالم,none,none,none,0
RT @AkramHamade: إمرأه بكل رجالهن و زعمائهم. كلمة الحق لما تفعل فعلها بفئه ظالميه مستعبده. كلنا معك. انت بتقوينا #كلنا_ديما_صادق @DimaSadek,none,none,none,0
@Jessicaazar آه يا حنونة انت    ال ١٣ يوم من قطع الطرقات ما ابكتكي المهم ان تبكي متأخرة من ان لا تبكي,none,none,none,0
@DimaSadek ديما لحزب وقع طيارة لأهلك بقصد إسرائيلي,discredit,misogyny,active,1
@berrynawal ابكي بترتاحي,stereotyping & objectification,misogyny,active,1
@DimaSadek السيد يا حمارة,discredit,misogyny,active,1
@DimaSadek انشا الله ليقبر قلبك,damning,misogyny,active,1
@RemmyDerbass @DimaSadek بتاخدي العقل، الله يحميكي ويعطيكي العافية,none,none,none,0
@bird99_b @DimaSadek بس يا بهلة,discredit,misogyny,active,1
@yumnafawaz لو حدا غيرك يلّي حاطت التغريدة كان ممكن فكّر اتأكّد من صحّة الخبر. بس إنت شهادتك مجروحة بالحقد الأعمى على #حزب_الله,none,none,none,0
@DimaSadek انت دائما تمثلين المرأة الحرة التي تتمتع بالنقد البناء والتي تدافعين عن قضايا هذا المجتمع. فتحية لك و لكل حر مستقل في هذا البلد.,none,none,none,0
@JadHSaad1 @DimaSadek ما فهمانة هالمخلوقة كيف بيعتبروها صحفية,none,none,none,0
@DimaSadek يا مريضة موتي,discredit,misogyny,active,1
"@DimaSadek قال لن يسقط العهد يا حمارة 
#ديما_الواطية �",discredit,misogyny,active,1
@berrynawal لما تكوني عمتشتغلي ب قناة فتنويه واعلام موجه ضد (بيئتك ) فئة معينه ، بدك تتحملي ردود الفعل . عفكرا كنت مفكرك احسن من هيك,none,none,none,0
@DimaSadek انشالله بيقبرك إنتي وعيلتك�,damning,misogyny,active,1
@DimaSadek انا ضد تناول الأشخاص بعائلاتهم، معيب هل شعار برأي ... خلونا نخلي اللغة حضارية,none,none,none,0
@DimaSadek قال لا نؤيد حاجي تحريف يا #ديما_الواطية,discredit,misogyny,active,1
@DimaSadek يلعن شرفك بصباطي يا شرشوحه,damning,misogyny,active,1
@yumnafawaz يا ريت اكلتي شي كف عا نيعك,threat of violence,misogyny,active,1
@DimaSadek اولاً الاحترام واجب السيد حسن غصبن عن رأسك مش حسن لانك إعلامية بدون احترام,discredit,misogyny,active,1
@berrynawal سلامة قلبكن,none,none,none,0
@DimaSadek Bravo يا شاطرة، الله يحمي لبنان,none,none,none,0
@DimaSadek ان شاء الله بيقبرك وبنرتاح منك. اذا السيد خيفان هههه. من اسرائيل  ما خفنا منا بدك نخاف منكون يا صعاليك.… https://t.co/vNatwW6bEH,damning,misogyny,active,1
@yumnafawaz إنت وحدة بلا أخلاق وبلا أدب.عم تتمسخري على رئيس الجمهورية. عندو ولاد قد بييك وإمك. تقبلي حدن يتمسخر على… https://t.co/Ibl58ekr8L,discredit,misogyny,active,1
@DimaSadek انا ضد الاسفاف والتناول الشخصي وضد فائض القوه وعدم سماع مطالب الناس.ووجعها والرد على الغضب بالعنف والقوه وصم الاذان ِ,none,none,none,0
نانسي السبع من ساحة رياض الصلح: اشكال يحصل الآن علماً انه لم يأتِ احد على ذكر الامين العام لحزب الله وهناك كلام على ان هذا الامر مُحضَّر.,none,none,none,0
@DimaSadek ولي الله يلعن لي قال لأمك مبارك ما اجاكي��‍♀️��‍♀️,damning,misogyny,active,1
@berrynawal ما ابشعك,stereotyping & objectification,misogyny,active,1
@yumnafawaz @yumnafawaz  انتبهي فقد عاد المسعورين,none,none,none,0
"@loulouttew17 @Jessicaazar
ما خصنا هول رفقاتك �",none,none,none,0
@yumnafawaz @liliandaoud مناطق غالبيه مسلمه ليست شيعيه ولا دين آخر ! فلم يسمحوا لهم بالتعبير عن رأيهم؟,none,none,none,0
"@yumnafawaz ما اذكاكي!!!!!!! اووووووف بتعرفي بالمونتاج!!!! واااااو شو خل الثقافي!!!!!! مش شعر بدنا!!!.
طيب خلص يلا رجعي على الخسة.",discredit,misogyny,active,1
@DimaSadek خلص ما تزعلي انتِ ايقونة الثورة�,none,none,none,0
@RoroHMostafa1 @ahmadja21216444 @DimaSadek خلينالك لهضامي إلك ولثورة,none,none,none,0
@DimaSadek لا تكون طريق امك ومش عارفين ابديش زفر,none,none,none,0
@MwsAmal @yumnafawaz يبعتلك قص لسانك بلا اخلاق,damning,misogyny,active,1
@DimaSadek اللهم انصر الشعب اللبناني ؤالله يحي اللبنان العطيم***,none,none,none,0
@DimaSadek @josephinedeeb @AkikiJoyce يا بلا أخلاق العونيين دافعوا عنّا الإعتداء من شخص واحد بس انت بلا ضمير بتعممي ��,discredit,misogyny,active,1
"@DimaSadek انتي سخيفة وحاقدة وكتلة من العقد
ربما لانؤيد سكوت النائب حسن في هذا الموضوع ولكن الى الان لم تأتي على سيرة احد من الفاسدين",discredit,misogyny,active,1
"@jf_8o @DimaSadek انتقدته فقاموا عليها
يقولون هو ليس مشارك مع الاحزاب اللي ضيعت البلد بالوقت اللي هو اصل البلا كله",none,none,none,0
@DimaSadek صباطو اشرف منك ���,dominance,misogyny,active,1
"@DimaSadek عقبال ما يتعبط فيكي قد هيدا على مية مرة و يجعلكك و ما تعرفي راسك من كعب إجريكي
#ديما_الواطية",discredit,misogyny,active,1
@Linalina961 @DimaSadek السيد حسن نصرالله يا حقيرة,discredit,misogyny,active,1
"@lamatweetsback @dimasadekwateye @DimaSadek و انتي وقحة و وحقيرة و بتسوي صرماية لو مش عارفة هيدا زوجها للواطية
فكرتك عالم طلعتي طرطورة",discredit,misogyny,active,1
@DimaSadek انشالله بيقبر قلبك قريبا,damning,misogyny,active,1
