id_str,text,text2,arabert_text
1.542657661673546e+18,'أداء العقود الآجلة للنصف الأول من عام 2022 📊\n\n#السوق_الامريكي\n#الداوجونز\n#ناسداك \n#DowJones \n#Bitcoin\n#NASDAQ\n#السوق_السعودى\n#inflation2022\n#تاسي https://t.co/z0etr4YO3C','أداء العقود الآجلة للنصف الأول من عام 2022 📊\n\n#السوق_الامريكي\n#الداوجونز\n#ناسداك \n#DowJones \n#Bitcoin\n#NASDAQ\n#السوق_السعودى\n#inflation2022\n#تاسي https://t.co/z0etr4YO3C',' أداء العقود الآجلة للنصف الأول من عام 2022 \ n \ n # السوق _ الامريكي \ n # الداوجونز \ n # ناسداك \ n # DowJones \ n # Bitcoin \ n # NASDAQ \ n # السوق _ السعودى \ n # inflation2022 \ n # تاسي [رابط] '
3.394728957115392e+17,"#الوطن | عمار علي حسن يكتب: فى بيتنا عانس (1-2): http://t.co/rdQBLXmObZ
#مصر #Egypt #Elwatannews #EgyWomen","#الوطن | عمار علي حسن يكتب: فى بيتنا عانس (1-2): http://t.co/rdQBLXmObZ
#مصر #Egypt #Elwatannews #EgyWomen",# الوطن | عمار علي حسن يكتب : فى بيتنا عانس ( 1 - 2 ) : [رابط] # مصر # Egypt # Elwatannews # EgyWomen
1.353789266355171e+18,RT @hamedrizq01: محافظة #ذمار هي الاخرى رسمت مشهدا تاريخيا غير مسبوق وهتفت الجماهير العارمة بالموت لامريكا والموت لاسرئيل وامريكا ام الارها…,RT @hamedrizq01: محافظة #ذمار هي الاخرى رسمت مشهدا تاريخيا غير مسبوق وهتفت الجماهير العارمة بالموت لامريكا والموت لاسرئيل وامريكا ام الارها…,RT [مستخدم] : محافظة # ذمار هي الاخرى رسمت مشهدا تاريخيا غير مسبوق وهتفت الجماهير العارمة بالموت لامريكا والموت لاسرئيل وامريكا ام الارها …
4.902158576465018e+17,"RT @NCRIArabic: الإمام علي ..أمة في رجل http://t.co/BIYD17EgDL 
I #Iran #No2Rouhani #FreeIran #الشرق_الاوسط #ايران #العراق #سوريا #الربيع_ا…","RT @NCRIArabic: الإمام علي ..أمة في رجل http://t.co/BIYD17EgDL 
I #Iran #No2Rouhani #FreeIran #الشرق_الاوسط #ايران #العراق #سوريا #الربيع_ا…",RT [مستخدم] : الإمام علي . . أمة في رجل [رابط] I # Iran # No2Rouhani # FreeIran # الشرق _ الاوسط # ايران # العراق # سوريا # الربيع _ ا …
1.186314219949568e+18,"RT @KurdishRose: #محمد #العربي و محمد #التُركي حرقوا محمد #الكُردي 

#TurkeyOutOfNATO 
#TurkeySyriaInvasion 
#TurkeyIsATerrorState 
#Erdoga…","RT @KurdishRose: #محمد #العربي و محمد #التُركي حرقوا محمد #الكُردي 

#TurkeyOutOfNATO 
#TurkeySyriaInvasion 
#TurkeyIsATerrorState 
#Erdoga…",RT [مستخدم] : # محمد # العربي و محمد # التركي حرقوا محمد # الكردي # TurkeyOutOfNATO # TurkeySyriaInvasion # TurkeyIsATerrorState # Erdoga …
1.197893765626642e+18,RT @IranAlhurra: خلافا لمزاعم النظام ورغم القمع الكبير ، تواصل الشعب الإيراني  الاحتجاجات في أنحاء البلاد. لقد صد الشبان  هجوم القوات القمع…,RT @IranAlhurra: خلافا لمزاعم النظام ورغم القمع الكبير ، تواصل الشعب الإيراني  الاحتجاجات في أنحاء البلاد. لقد صد الشبان  هجوم القوات القمع…,RT [مستخدم] : خلافا لمزاعم النظام ورغم القمع الكبير ، تواصل الشعب الإيراني الاحتجاجات في أنحاء البلاد . لقد صد الشبان هجوم القوات القمع …
3.735417379037143e+17,RT @samasyrianews: #أردوغان: أتمنى أن يكون ضرب #سوريا، مشابها لما وقع في كوسوفو,RT @samasyrianews: #أردوغان: أتمنى أن يكون ضرب #سوريا، مشابها لما وقع في كوسوفو,RT [مستخدم] : # أردوغان : أتمنى أن يكون ضرب # سوريا ، مشابها لما وقع في كوسوفو
1.604898625901171e+18,'الأباء في تربية الأبناء على أحوال ستة:\n١- السلطوي.\n٢- الواثق.\n٣- المشكك.\n٤- الا مبالي.\n٥- الخائف.\n٦- المثالي.\nالتفاصيل في هذا المقطع👇🏻\n\n#التربية #الأبناء #الأباء_و_الأمهات #الأباء_والتربية #الأب_المثالي #التنشئة_الاسرية #سامي_الحيمود #تكوين_الشخصية #الأسرة #أنواع_الأباء https://t.co/ShoGiC50VH','الأباء في تربية الأبناء على أحوال ستة:\n١- السلطوي.\n٢- الواثق.\n٣- المشكك.\n٤- الا مبالي.\n٥- الخائف.\n٦- المثالي.\nالتفاصيل في هذا المقطع👇🏻\n\n#التربية #الأبناء #الأباء_و_الأمهات #الأباء_والتربية #الأب_المثالي #التنشئة_الاسرية #سامي_الحيمود #تكوين_الشخصية #الأسرة #أنواع_الأباء https://t.co/ShoGiC50VH',' الأباء في تربية الأبناء على أحوال ستة : \ n1 - السلطوي . \ n2 - الواثق . \ n3 - المشكك . \ n4 - الا مبالي . \ n5 - الخائف . \ n6 - المثالي . \ nالتفاصيل في هذا المقطع \ n \ n # التربية # الأبناء # الأباء _ و _ الأمهات # الأباء _ والتربية # الأب _ المثالي # التنشئة _ الاسرية # سامي _ الحيمود # تكوين _ الشخصية # الأسرة # أنواع _ الأباء [رابط] '
1.002225440575115e+18,RT @DzEnough: المرأة إنسان أيضا، لكن في القانون و المجتمع الجزائر هي إنسان ناقص، ناقص عقل و دين و ناقص حقوق أيضا! #المجلس_الوطني_لحقوق_الإن…,RT @DzEnough: المرأة إنسان أيضا، لكن في القانون و المجتمع الجزائر هي إنسان ناقص، ناقص عقل و دين و ناقص حقوق أيضا! #المجلس_الوطني_لحقوق_الإن…,RT [مستخدم] : المرأة إنسان أيضا ، لكن في القانون و المجتمع الجزائر هي إنسان ناقص ، ناقص عقل و دين و ناقص حقوق أيضا ! # المجلس _ الوطني _ لحقوق _ الإن …
1.491610942110433e+17,"توفيت الى رحمة الله تعالى الأخت رجولة المصرية عن سن يناهز الى 8000 سنة

اقرولها الفاتحة يا جماعة !!
#womenmarch‏ ‎#egywomen‏","توفيت الى رحمة الله تعالى الأخت رجولة المصرية عن سن يناهز الى 8000 سنة

اقرولها الفاتحة يا جماعة !!
#womenmarch‏ ‎#egywomen‏",توفيت الى رحمة الله تعالى الأخت رجولة المصرية عن سن يناهز الى 8000 سنة اقرولها الفاتحة يا جماعة ! ! # womenmarch # egywomen
1.580450710927593e+18,#التجارة في #الطب https://t.co/obnSYcyx4N,#التجارة في #الطب https://t.co/obnSYcyx4N,# التجارة في # الطب [رابط]
4.567498855684547e+17,"RT @4239y: سؤال الى #محافظ_الرس
لماذا أسعار #الاراضي في #الرس مرتفعة مقارنة بمحافظات المنطقة !
بسبب ال #فساد
وانت مسؤل امام الله عنا","RT @4239y: سؤال الى #محافظ_الرس
لماذا أسعار #الاراضي في #الرس مرتفعة مقارنة بمحافظات المنطقة !
بسبب ال #فساد
وانت مسؤل امام الله عنا",RT [مستخدم] : سؤال الى # محافظ _ الرس لماذا أسعار # الاراضي في # الرس مرتفعة مقارنة بمحافظات المنطقة ! بسبب ال # فساد وانت مسؤل امام الله عنا
4.935790725185208e+17,RT @Shorouk_News: بوابة الشروق| #الجيش يدمر 13 نفقا على الحدود الدولية بـ #سيناء.. ويضبط مليوني قرص ترامادول http://t.co/gX0yveGhET,RT @Shorouk_News: بوابة الشروق| #الجيش يدمر 13 نفقا على الحدود الدولية بـ #سيناء.. ويضبط مليوني قرص ترامادول http://t.co/gX0yveGhET,RT [مستخدم] : بوابة الشروق | # الجيش يدمر 13 نفقا على الحدود الدولية ب # سيناء . . ويضبط مليوني قرص ترامادول [رابط]
1.645449857098826e+18,"RT @EconomyPlusAR: #عاجل

#التضخم في مدن مصر يرتفع إلى 32.7% خلال مارس على أساس سنوي مقارنة ب 31.9% في فبراير https://t.co/vqeNeBW2GU","RT @EconomyPlusAR: #عاجل

#التضخم في مدن مصر يرتفع إلى 32.7% خلال مارس على أساس سنوي مقارنة ب 31.9% في فبراير https://t.co/vqeNeBW2GU",RT [مستخدم] : # عاجل # التضخم في مدن مصر يرتفع إلى 32 . 7 % خلال مارس على أساس سنوي مقارنة ب 31 . 9 % في فبراير [رابط]
1.959616839849206e+17,"RT @JabbarAldurazi: فيديو لن أتنازل عن حقي
#AR #ARABIC #BH #bilad #democracy #FreeBahrain #Karranah #Peaceful #waad #الخواجة #Aldaih #KS ...","RT @JabbarAldurazi: فيديو لن أتنازل عن حقي
#AR #ARABIC #BH #bilad #democracy #FreeBahrain #Karranah #Peaceful #waad #الخواجة #Aldaih #KS ...",RT [مستخدم] : فيديو لن أتنازل عن حقي # AR # ARABIC # BH # bilad # democracy # FreeBahrain # Karranah # Peaceful # waad # الخواجة # Aldaih # KS . .
1.423304373040472e+18,RT @AJArabic: الرئيس اللبناني في خطاب بذكرى انفجار #مرفأ_بيروت: يجب ترك التحقيق يأخذ مجراه والحقيقة قادمة ومعها القصاص العادل لكل مسؤول عن…,RT @AJArabic: الرئيس اللبناني في خطاب بذكرى انفجار #مرفأ_بيروت: يجب ترك التحقيق يأخذ مجراه والحقيقة قادمة ومعها القصاص العادل لكل مسؤول عن…,RT [مستخدم] : الرئيس اللبناني في خطاب بذكرى انفجار # مرفأ _ بيروت : يجب ترك التحقيق يأخذ مجراه والحقيقة قادمة ومعها القصاص العادل لكل مسؤول عن …
